TyreLife,compound_encoded,lap_time_delta,deg_rate,GapToAhead,GapToBehind,laps_remaining,fuel_adjusted_laptime,pit_window_open,safety_car_active,TrackTemp,Position,pit_decision
7.0,1,0.1290000000000049,-0.012499999999984178,1.204,0.478,51.0,91.34,0,0,34.5,19,0
8.0,1,0.4099999999999966,0.028999999999995626,1.785,0.44,50.0,91.651,0,0,34.0,19,0
13.0,1,0.5670000000000073,-0.17400000000000462,4.409,11.026,45.0,91.95800000000001,0,0,33.7,19,0
14.0,1,1.1869999999999976,0.2049999999999995,3.718,2.931,44.0,92.608,0,0,33.7,18,0
15.0,1,3.8810000000000002,1.6569999999999991,0.546,2.888,43.0,95.332,0,0,33.5,17,1
14.0,0,0.5109999999999957,-0.07499999999999879,14.172,12.303,29.0,91.314,0,0,32.9,18,0
15.0,0,0.5699999999999932,-0.018500000000002223,11.73,13.166,28.0,91.40299999999999,0,0,32.8,18,0
16.0,0,0.35299999999999443,-0.07899999999999555,14.4,9.572,27.0,91.216,0,0,32.9,17,0
17.0,0,0.39399999999999125,-0.08799999999999905,14.791,8.947,26.0,91.28699999999999,0,0,32.9,17,0
18.0,0,0.4230000000000018,0.03500000000000699,15.538,8.127,25.0,91.346,0,0,32.9,17,0
19.0,0,0.6080000000000041,0.10699999999999907,16.379,7.333,24.0,91.561,0,0,32.7,17,0
20.0,0,0.41499999999999204,-0.004000000000016795,17.218,3.24,23.0,91.398,0,0,32.7,16,0
21.0,0,0.8079999999999927,0.0999999999999891,5.787,1.847,22.0,91.821,1,0,32.6,16,0
22.0,0,0.6310000000000002,0.10800000000000254,8.001,0.495,21.0,91.674,1,0,32.6,16,0
1.0,2,0.0,0.0,0.312,0.458,57.0,100.34,0,1,34.8,18,0
2.0,2,0.0,0.0,0.536,0.574,56.0,92.95599999999999,0,0,34.9,18,0
3.0,2,0.0,-4.7899999999999965,1.835,0.56,55.0,90.82,0,0,34.4,17,0
4.0,2,0.0030000000000001137,-1.081500000000002,1.171,0.599,54.0,90.853,0,0,34.3,17,0
5.0,2,0.1110000000000042,0.055499999999996226,0.605,0.655,53.0,90.991,0,0,34.0,17,0
6.0,2,0.8359999999999985,0.41649999999999904,1.075,0.704,52.0,91.746,0,0,34.0,17,0
7.0,2,0.0,-0.08199999999999337,1.447,0.94,51.0,90.887,0,0,34.5,17,0
8.0,2,0.12000000000000455,-0.3844999999999931,1.595,0.973,50.0,91.037,0,0,34.0,17,0
9.0,2,0.29299999999999216,0.14650000000000463,1.852,1.239,49.0,91.24,0,0,34.0,17,0
10.0,2,0.32500000000000284,0.10249999999999859,1.862,1.488,48.0,91.302,0,0,34.0,17,0
11.0,2,0.5450000000000017,0.12600000000000794,1.81,1.899,47.0,91.552,1,0,33.9,17,0
12.0,2,0.7019999999999982,0.1884999999999948,0.495,1.769,46.0,91.739,1,0,33.9,17,0
13.0,2,0.9629999999999939,0.20899999999999436,2.853,1.003,45.0,92.03,1,0,33.7,16,0
14.0,2,4.0049999999999955,1.651499999999989,1.451,3.718,44.0,95.102,1,0,33.7,17,1
2.0,0,0.0,-2.6705000000000036,2.955,11.409,42.0,89.821,0,0,33.6,19,0
3.0,0,0.0,-10.187500000000004,2.83,12.064,41.0,89.788,0,0,33.4,19,0
4.0,0,0.20900000000000318,0.07300000000000008,2.525,12.917,40.0,90.027,0,0,33.3,19,0
5.0,0,0.2819999999999965,0.1410000000000035,2.494,13.554,39.0,90.13,0,0,33.6,19,0
6.0,0,1.1640000000000015,0.4775000000000026,0.918,13.426,38.0,91.042,0,0,33.2,19,0
7.0,0,0.42499999999999716,0.07150000000000499,1.231,14.041,37.0,90.333,0,0,33.1,19,0
8.0,0,0.20999999999999375,-0.4770000000000044,1.354,14.793,36.0,90.148,0,0,33.0,19,0
9.0,0,0.6859999999999928,0.13049999999999565,1.311,15.065,35.0,90.654,0,0,32.9,19,0
10.0,0,0.8370000000000033,0.3135000000000017,1.0,15.391,34.0,90.83500000000001,0,0,32.9,19,0
11.0,0,2.2510000000000048,0.7824999999999979,0.447,14.101,33.0,92.27900000000001,0,0,33.3,19,0
12.0,0,1.524000000000001,0.34349999999999714,2.79,0.858,32.0,91.58200000000001,0,0,32.9,17,0
13.0,0,0.6940000000000026,-0.7784999999999966,2.906,0.605,31.0,90.782,0,0,32.9,17,0
14.0,0,1.3889999999999958,-0.06750000000001195,1.067,5.457,30.0,91.50699999999999,0,0,32.8,17,0
15.0,0,1.0319999999999965,0.16899999999999513,1.097,14.172,29.0,91.17999999999999,0,0,32.9,17,0
16.0,0,1.2789999999999964,-0.05500000000000068,1.826,2.388,28.0,91.457,0,0,32.8,16,0
17.0,0,0.7259999999999991,-0.15300000000000588,2.536,14.4,27.0,90.934,0,0,32.9,16,0
18.0,0,0.6580000000000013,-0.3105000000000062,2.849,14.791,26.0,90.896,0,0,32.9,16,0
19.0,0,0.33100000000000307,-0.19750000000000809,2.77,15.538,25.0,90.599,0,0,32.9,16,0
